charge_end,std_scaled,minmax_scaled,hour,day_name,date,day_of_year,weekend,workday,holiday
2023-01-01 00:00:00+00:00,-0.4099186,0.034437086,0,Sunday,2023-01-01,1,True,False,True
2023-01-01 01:00:00+00:00,-0.65968204,0.0,1,Sunday,2023-01-01,1,True,False,True
2023-01-01 02:00:00+00:00,-0.65968204,0.0,2,Sunday,2023-01-01,1,True,False,True
2023-01-01 03:00:00+00:00,-0.65968204,0.0,3,Sunday,2023-01-01,1,True,False,True
2023-01-01 04:00:00+00:00,-0.65968204,0.0,4,Sunday,2023-01-01,1,True,False,True
2023-01-01 05:00:00+00:00,-0.65968204,0.0,5,Sunday,2023-01-01,1,True,False,True
2023-01-01 06:00:00+00:00,-0.65968204,0.0,6,Sunday,2023-01-01,1,True,False,True
2023-01-01 07:00:00+00:00,-0.65968204,0.0,7,Sunday,2023-01-01,1,True,False,True
2023-01-01 08:00:00+00:00,-0.63471794,0.0034420213,8,Sunday,2023-01-01,1,True,False,True
2023-01-01 09:00:00+00:00,-0.32786745,0.0457502,9,Sunday,2023-01-01,1,True,False,True
2023-01-01 10:00:00+00:00,-0.043778334,0.08492007,10,Sunday,2023-01-01,1,True,False,True
2023-01-01 11:00:00+00:00,-0.003456431,0.090479605,11,Sunday,2023-01-01,1,True,False,True
2023-01-01 12:00:00+00:00,1.5660394,0.30687982,12,Sunday,2023-01-01,1,True,False,True
2023-01-01 13:00:00+00:00,1.2325116,0.2608934,13,Sunday,2023-01-01,1,True,False,True
2023-01-01 14:00:00+00:00,2.8775115,0.48770404,14,Sunday,2023-01-01,1,True,False,True
2023-01-01 15:00:00+00:00,1.4847225,0.29566795,15,Sunday,2023-01-01,1,True,False,True
2023-01-01 16:00:00+00:00,2.3955452,0.4212511,16,Sunday,2023-01-01,1,True,False,True
2023-01-01 17:00:00+00:00,1.5344672,0.30252668,17,Sunday,2023-01-01,1,True,False,True
2023-01-01 18:00:00+00:00,1.345829,0.27651748,18,Sunday,2023-01-01,1,True,False,True
2023-01-01 19:00:00+00:00,0.098541506,0.10454296,19,Sunday,2023-01-01,1,True,False,True
2023-01-01 20:00:00+00:00,0.056139242,0.09869658,20,Sunday,2023-01-01,1,True,False,True
2023-01-01 21:00:00+00:00,-0.20561674,0.06260598,21,Sunday,2023-01-01,1,True,False,True
2023-01-01 22:00:00+00:00,-0.65968204,0.0,22,Sunday,2023-01-01,1,True,False,True
2023-01-01 23:00:00+00:00,-0.65968204,0.0,23,Sunday,2023-01-01,1,True,False,True
2023-01-02 00:00:00+00:00,-0.65968204,0.0,0,Monday,2023-01-02,2,False,True,False
2023-01-02 01:00:00+00:00,-0.65968204,0.0,1,Monday,2023-01-02,2,False,True,False
2023-01-02 02:00:00+00:00,-0.65968204,0.0,2,Monday,2023-01-02,2,False,True,False
2023-01-02 03:00:00+00:00,-0.65968204,0.0,3,Monday,2023-01-02,2,False,True,False
2023-01-02 04:00:00+00:00,-0.65968204,0.0,4,Monday,2023-01-02,2,False,True,False
2023-01-02 05:00:00+00:00,-0.65968204,0.0,5,Monday,2023-01-02,2,False,True,False
2023-01-02 06:00:00+00:00,-0.65968204,0.0,6,Monday,2023-01-02,2,False,True,False
2023-01-02 07:00:00+00:00,-0.65968204,0.0,7,Monday,2023-01-02,2,False,True,False
2023-01-02 08:00:00+00:00,-0.44797665,0.02918969,8,Monday,2023-01-02,2,False,True,False
2023-01-02 09:00:00+00:00,-0.46009156,0.0275193,9,Monday,2023-01-02,2,False,True,False
2023-01-02 10:00:00+00:00,-0.36684325,0.04037626,10,Monday,2023-01-02,2,False,True,False
2023-01-02 11:00:00+00:00,0.23810808,0.12378623,11,Monday,2023-01-02,2,False,True,False
2023-01-02 12:00:00+00:00,1.4563318,0.29175347,12,Monday,2023-01-02,2,False,True,False
2023-01-02 13:00:00+00:00,1.4943289,0.29699245,13,Monday,2023-01-02,2,False,True,False
2023-01-02 14:00:00+00:00,0.17435162,0.11499557,14,Monday,2023-01-02,2,False,True,False
2023-01-02 15:00:00+00:00,1.1655123,0.2516556,15,Monday,2023-01-02,2,False,True,False
